       200		    17,074		0,05		     0,045
        66		    19,429		0,15		     0,135
        50		    20,470		0,20		     0,178
       100		    18,171		0,10		     0,088
        40		    22,074		0,25		     0,226
        33		    23,452		0,30		     0,268
        66		    19,379		0,15		     0,137
        28		    25,307		0,35		     0,316
        50		    20,813		0,20		     0,180
        25		    26,795		0,40		     0,351
        22		    29,611		0,45		     0,412
        40		    22,050		0,25		     0,219
        20		    31,658		0,50		     0,443
        33		    23,649		0,30		     0,267
        18		    33,343		0,55		     0,486
        16		    37,709		0,60		     0,535
        28		    25,633		0,35		     0,319
        15		    40,295		0,65		     0,577
        25		    26,898		0,40		     0,355
        14		    43,994		0,70		     0,613
        13		    47,721		0,75		     0,642
        22		    29,131		0,45		     0,401
        12		    55,704		0,80		     0,696
        20		    31,324		0,50		     0,446
        11		    61,566		0,85		     0,732
        18		    34,381		0,55		     0,483
        11		    63,564		0,90		     0,727
        10		    73,368		0,95		     0,746
        16		    38,653		0,60		     0,548
        15		    40,167		0,65		     0,572
        14		    44,179		0,70		     0,618
        13		    48,461		0,75		     0,656
        12		    53,635		0,80		     0,682
        11		    60,371		0,85		     0,731
        11		    61,286		0,90		     0,731
        10		    73,669		0,95		     0,739
